URL,Date,Tweet,ID,Replies,Retweets,Likes,Quotes,Conv. ID,Language,Links,Media,Retweeted Tweet,Bookmarks,Username
https://twitter.com/mraihanhm_/status/1669296142738399232,2023-06-15 10:49:49+00:00,hiduplah mbok srini muda yang sedang merantau di negri pelampung. ia sedang menumpang kereta kuda seorang pedagang untuk pergi ke tempat kerjanya ia pun terpental karena jalan nya yang rusak dan ia pun ditangkap oleh seorang pria raksasa. mbok srini pun terpana dengan ketampanan,1669296142738399232,1,0,0,0,1669296142738399232,in,,,,0,mraihanhm_
https://twitter.com/kapten1736/status/1668777990933872642,2023-06-14 00:30:52+00:00,"Jalan Nagoya Newton
Rusak Berat Mohon Perhatian Pemda BATAM.. https://t.co/O5sO9LGdLN",1668777990933872642,0,1,0,0,1668777990933872642,in,,https://pbs.twimg.com/media/Fyiwt-IaYAAQM22?format=jpg&name=orig,,0,kapten1736
https://twitter.com/Nasionalis88/status/1666841685039431683,2023-06-08 16:16:40+00:00,"Atasi jalan rusak Ganjar gandeng PUPR

#NKRIBangkitBersamaGanjar https://t.co/9KUiQ2eiWW",1666841685039431683,0,0,0,0,1666841685039431683,in,,https://pbs.twimg.com/media/FyHPmVAaAAMwRrK?format=jpg&name=orig,,0,Nasionalis88
https://twitter.com/11Kraton/status/1668860878253621248,2023-06-14 06:00:13+00:00,Anggota Koramil 12/Gondomanan Ikut Serta Melaksanakan Pemantauan Dan Perbaikan Jalan Rusak https://t.co/Fh0vqrOKsI,1668860878253621248,0,0,0,0,1668860878253621248,in,,https://pbs.twimg.com/media/Fyj8Hj5agAA7OQq?format=jpg&name=orig,,0,11Kraton
https://twitter.com/Dianuaji/status/1669284367317995520,2023-06-15 10:03:01+00:00,"https://t.co/ssepsCTcCC

#pati
#jateng
#capres
#jalanrusak",1669284367317995520,0,0,0,0,1669284367317995520,qme,https://www.google.com/amp/s/www.detik.com/jateng/berita/d-6774271/viral-jalan-sumbersari-kayen-pati-bak-medan-off-road-begini-kondisinya/amp,,,0,Dianuaji
https://twitter.com/Hevaistos/status/1669300146843308034,2023-06-15 11:05:43+00:00,"@kiddofuns Takut, banyak jalan yang rusak",1669300146843308034,0,0,0,0,1668452083098619904,in,,,,0,Hevaistos
https://twitter.com/MediaJatim/status/1669260958878035969,2023-06-15 08:30:00+00:00,"Ratusan Warga Sumenep Gelar Rokat Jhelen, Berdoa Bersama Agar Pemkab Perbaiki Jalan Rusak 

#MediaJatim #Rokat #Perbaikan #Sumenep #Madura #JawaTimur
https://t.co/TTzjRYDD0h",1669260958878035969,0,0,0,0,1669260958878035969,in,https://mediajatim.com/2023/06/14/ratusan-warga-sumenep-gelar-rokat-jhelen-doa-bersama-agar-pemkab-perbaiki-jalan-rusak/,,,0,MediaJatim
https://twitter.com/raisaaazizah/status/1667158740922150916,2023-06-09 13:16:32+00:00,Buat soal data jalan rusak aja ini jauh banget bedanya sama data BPS. https://t.co/t1u0PrJfT0,1667158740922150916,1,0,2,0,1667158724899897344,in,,https://pbs.twimg.com/media/FyLwCAJagAEmBuq?format=jpg&name=orig,,1,raisaaazizah
https://twitter.com/ciaakcyy/status/1667491567781961729,2023-06-10 11:19:04+00:00,teko sekolah rupane wes kyo lutong wkkwk #palembang #mesujiraya #jalanrusak #fypviraltwitter #FYP #jalanbecek #pelosok https://t.co/BLHZFF4p1Y,1667491567781961729,1,0,1,0,1667491567781961729,in,,,,0,ciaakcyy
https://twitter.com/punapibali/status/1666242388703219712,2023-06-07 00:35:17+00:00,"JALAN RUSAK MAKAN KORBAN

Pengendara sepeda motor alami kecelakaan saat melintas di Jalan Ambarawati, Gianyar, jalan penghubung Lodtunduh menuju Mas, Rabu (7/6) dini hari.

🎥 @yanlingga.00 https://t.co/0LtrIPiVpa",1666242388703219712,1,0,1,0,1666242388703219712,in,,,,0,punapibali
